"","Bifidobacterium","Adlercreutzia","Atopobium","Collinsella","Bacteroides","Barnesiella","Butyricimonas","Odoribacter","Parabacteroides","Paraprevotella","Prevotella","Saccharibacteria_genera_incertae_sedis","Chloroplast","Gemella","Granulicatella","Enterococcus","Lactobacillus","Lactococcus","Streptococcus","Clostridium_sensu_stricto","Anaerococcus","Parvimonas","Peptoniphilus","Anaerovorax","Anaerofustis","Eubacterium","Anaerostipes","Blautia","Clostridium_XlVa","Clostridium_XlVb","Howardella","Lachnoanaerobaculum","Lachnospiracea_incertae_sedis","Roseburia","Ruminococcus2","Syntrophococcus","Peptococcus","Clostridium_XI","Anaerofilum","Anaerotruncus","Butyricicoccus","Clostridium_IV","Ethanoligenens","Faecalibacterium","Flavonifractor","Oscillibacter","Pseudoflavonifractor","Ruminococcus","Subdoligranulum","Catenibacterium","Clostridium_XVIII","Coprobacillus","Erysipelotrichaceae_incertae_sedis","Holdemania","Turicibacter","Acidaminococcus","Phascolarctobacterium","Succinispira","Dialister","Veillonella","Clostridium_XIX","Fusobacterium","Acidovorax","Parasutterella","Sutterella","Desulfovibrio","Campylobacter","Citrobacter","Escherichia","Haemophilus","Akkermansia"
"A09",0,2,0,0,174,0,0,0,42,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,749,0,0,0,0,38,15,0,0,0,36,0,0,14,6,0,440,6,2,1,7,18,0,8,1,2,3,5,0,0,0,0,3,0,0,2,7,0,0,0,0,0,0,0
"F065-C1A",26,0,0,0,1116,43,10,22,284,0,761,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,124,28,10,0,0,160,67,109,36,0,319,12,0,3,6,0,113,16,37,6,0,26,0,15,0,6,0,17,0,157,0,6,3,0,0,0,0,60,0,0,0,0,0,0
"F-002C1A",41,0,0,8,232,37,0,3,45,2,0,0,0,0,2,0,0,3,17,11,0,0,0,18,0,0,0,135,25,6,0,3,46,0,209,3,0,110,0,5,6,0,15,94,67,189,0,562,10,0,29,21,15,0,5,0,23,0,10,0,0,0,0,2,0,0,0,0,4,0,41
"F-038-C1A",58,0,0,0,3172,0,0,0,0,0,3,0,0,0,0,0,3,0,108,8,0,0,0,0,0,0,0,91,27,5,0,0,86,252,139,79,0,460,13,0,17,9,0,565,11,42,0,20,8,0,0,6,12,23,6,0,0,0,139,0,0,0,0,37,0,0,0,0,0,0,0
"F-030C1A",39,0,0,0,2329,2,8,16,180,0,3,0,0,0,0,0,0,4,104,75,0,0,0,15,0,0,0,284,35,0,0,0,143,23,214,82,0,206,12,12,6,11,0,202,31,113,4,18,13,2,101,3,34,16,9,0,108,0,0,0,6,0,0,0,13,3,0,0,0,3,10
"F-031C1U",22,0,0,0,4645,0,0,54,196,0,0,0,0,4,0,0,0,6,16,110,0,0,0,0,0,0,0,264,93,41,0,0,1006,95,447,24,0,216,3,0,21,0,0,544,11,9,9,0,31,0,35,0,5,16,0,0,75,0,0,0,0,0,0,37,0,0,0,0,0,0,0
"A02",70,0,0,0,691,0,0,0,34,0,0,0,0,0,3,80,0,0,63,0,0,0,0,14,0,0,15,0,28,1,0,0,33,0,0,0,0,308,20,0,8,0,0,54,9,6,3,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
"N02",17,0,0,1,463,0,0,0,10,0,0,1,0,0,0,0,0,0,5,0,0,0,0,4,0,0,2,0,0,0,0,0,65,123,0,0,0,45,2,2,1,0,0,129,9,40,0,0,17,0,0,0,0,1,4,0,4,0,0,0,0,0,0,1,23,0,0,0,0,0,15
"F-043-C1A",35,0,0,0,1553,0,0,0,112,0,0,0,0,0,0,0,0,0,173,12,0,0,0,0,0,0,0,87,24,0,0,0,397,28,196,27,0,133,5,0,10,36,0,691,9,6,3,517,0,0,0,18,0,4,10,0,0,0,23,0,0,0,0,42,0,0,0,0,5,6,45
"N06",2,0,0,0,313,22,0,0,10,8,2,0,9,0,0,0,0,0,4,0,0,0,0,7,0,1,3,0,11,2,0,0,54,0,0,16,0,106,1,0,0,27,0,241,21,8,7,0,16,0,0,3,8,4,4,0,7,0,0,0,0,0,0,3,0,0,0,0,4,1,0
"F-054-C1A",48,0,0,4,1581,83,0,0,173,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,130,33,7,0,0,143,86,141,44,0,7,3,6,7,6,0,1369,9,14,0,130,0,0,3,0,0,3,0,0,0,0,220,0,0,0,0,25,0,0,0,0,0,0,5
"F-019C1A",12,0,0,7,840,280,0,10,125,8,0,0,0,0,0,0,0,0,0,31,0,0,0,4,0,0,0,9,65,0,0,0,44,2,269,2,0,561,13,0,0,25,0,15,17,235,0,35,0,0,16,3,15,0,27,0,0,8,0,0,0,0,0,3,0,0,0,0,3,0,60
"F-011C1A",6,0,0,0,6770,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,16,0,0,0,577,5,93,9,0,8,4,0,0,470,4,203,7,66,7,155,0,0,9,0,0,8,0,0,0,0,6,0,0,0,0,0,24,5,0,0,0,0,242
"A19",0,0,0,2,860,84,0,7,22,5,0,0,0,0,5,0,5,5,15,0,0,0,0,6,0,3,10,0,0,0,0,0,32,158,146,0,0,51,4,0,2,3,0,929,16,9,3,9,134,0,1,0,0,0,6,0,37,0,0,0,0,0,0,23,0,0,0,0,0,0,69
"F-003C2U",7,0,0,0,1228,0,0,17,84,0,0,0,0,0,0,0,17,0,10,11,0,3,0,0,0,0,7,260,36,48,0,0,304,8,228,5,0,28,5,0,10,13,0,2539,4,14,18,81,0,0,195,0,7,0,7,0,0,0,43,3,0,2,0,27,0,0,0,0,2,0,0
"F-044-C1A",6,0,0,0,3590,0,0,46,40,0,0,0,0,5,0,0,0,0,74,91,0,0,0,5,0,0,0,123,24,5,0,0,174,358,149,42,0,607,0,0,7,3,0,149,7,15,14,197,0,0,42,0,6,4,84,0,4,0,26,23,0,0,0,25,0,0,0,0,3,0,6
"F064-C1A",6,0,0,5,3520,256,17,25,159,6,0,0,0,0,0,0,0,0,11,41,0,0,0,12,0,0,0,183,33,0,0,0,84,19,70,43,0,468,8,0,0,3,6,162,30,102,4,124,0,0,11,0,29,0,14,0,139,0,0,0,0,0,0,0,8,86,0,0,0,0,6
"F-037-C1A",0,0,0,0,683,2,0,0,18,0,48,0,0,0,13,0,3,6,65,211,0,0,0,0,0,0,0,97,34,0,0,0,119,152,88,16,0,600,8,0,21,63,0,317,15,112,8,60,20,0,16,0,4,11,39,2,0,0,82,3,5,0,0,29,4,2,2,0,0,17,0
"F-041-C2U",460,0,4,14,666,29,20,3,32,0,3,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,16,3,0,0,0,20,32,31,314,0,46,5,5,14,0,0,904,10,20,3,6,74,0,2,0,0,0,0,0,0,0,0,4,0,0,0,25,0,0,0,0,0,0,14
"F-053-C1U",8,0,0,0,1179,0,0,8,108,0,0,0,0,0,0,0,0,0,35,140,0,3,0,0,0,0,0,198,29,0,0,0,138,24,209,37,0,474,7,0,0,8,0,812,16,85,21,445,7,0,0,7,23,8,7,0,47,0,0,0,0,0,0,0,0,0,6,0,3,0,0
"F-001C2U",423,0,0,4,2909,0,0,0,386,0,2,6,0,0,0,0,0,43,5,21,0,0,0,32,0,0,0,609,16,61,0,0,224,103,291,36,0,663,0,13,13,114,3,1862,19,220,5,26,7,0,26,0,0,0,5,0,0,0,21,0,0,0,0,35,0,0,0,0,0,2,117
"F-017C2U",0,0,0,0,5501,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,315,11,9,0,0,37,66,96,23,0,168,4,0,0,8,0,527,0,7,4,3,0,0,4,0,0,8,0,0,0,0,45,0,0,0,0,0,20,0,0,0,0,0,7
"F-009C2U",8,0,0,0,322,0,0,3,31,0,2,0,0,0,0,0,0,2,21,54,0,0,0,23,0,0,0,30,6,0,0,0,309,18,42,14,0,211,0,0,3,21,0,151,5,44,6,42,11,0,12,0,9,3,2,5,0,0,21,0,0,0,0,0,7,0,0,0,0,0,6
"F-062-C2U",52,0,0,3,229,0,0,2,5,0,5798,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,59,14,9,4,0,59,13,24,5,0,45,0,0,14,4,0,450,0,7,0,0,67,0,6,0,4,2,4,0,30,0,111,2,0,0,0,0,17,0,0,0,0,0,0
"F-007C2U",0,0,0,0,17,0,0,4,3,0,0,0,0,0,0,0,0,0,4,1585,0,0,0,8,0,17,0,10,0,0,0,0,13,0,7,2,0,1513,4,0,0,12,0,9,10,8,0,33,6,0,2,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"F-005C1A",165,0,0,0,2857,88,3,49,13,0,3,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,280,17,0,0,0,418,36,332,167,0,41,3,0,4,0,0,724,0,16,7,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,89,0,0,0,0,5,0
"F-015C2U",47,0,0,0,1647,0,7,5,79,0,0,0,0,0,0,0,0,0,9,242,0,0,0,0,0,0,0,67,36,30,0,0,193,188,107,27,0,379,0,6,3,15,0,609,9,36,9,138,32,0,11,0,5,9,7,0,128,0,3,0,0,0,0,40,0,0,0,0,0,0,0
"F-019C2U",195,0,0,0,998,9,0,0,200,6,2,0,0,0,0,0,0,0,65,389,0,0,0,0,0,0,0,109,14,0,0,0,98,279,161,93,0,868,0,0,7,0,0,575,0,5,0,2,0,0,18,0,4,0,13,0,0,55,0,0,0,0,0,40,0,0,0,0,0,14,0
"A17",0,0,0,49,300,0,0,0,15,0,0,0,0,0,0,20,5,0,0,0,0,0,47,2,0,0,0,0,10,0,0,0,269,0,0,0,0,45,6,0,0,58,0,171,0,8,0,281,254,0,60,0,6,4,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
"F-021C2U",43,0,0,0,738,0,0,9,144,0,0,0,0,0,0,0,0,0,31,57,0,0,0,0,0,0,0,104,26,3,0,0,164,289,194,105,0,96,0,0,30,4,0,1385,39,37,0,37,82,0,33,4,4,3,8,0,0,0,25,3,0,0,0,31,0,0,0,0,4,2,8
"F-059-C1A",0,0,0,0,3660,0,0,33,250,0,3,0,0,0,0,0,0,0,9,7,0,0,0,8,0,0,0,368,54,0,0,0,270,8,197,21,0,63,6,0,6,70,0,93,20,69,10,145,26,0,179,4,6,7,3,0,0,0,95,0,0,0,0,40,0,0,0,0,0,0,141
"F-027C2U",43,0,0,4,2741,0,0,4,147,0,0,0,0,0,0,0,0,2,19,12,0,0,0,0,0,0,0,116,55,7,0,0,171,149,266,36,0,314,3,0,21,5,0,1495,29,15,19,88,12,0,0,7,5,6,4,0,124,0,6,0,0,0,0,15,0,0,0,0,7,0,71
"F-022C2U",16,5,0,0,1629,99,38,35,117,0,6,0,0,0,0,0,0,0,27,70,0,0,9,4,0,0,0,173,113,0,0,0,108,22,132,130,0,437,13,15,8,3,10,57,133,349,9,60,94,0,0,5,68,0,134,0,68,0,0,0,0,0,0,3,0,0,6,0,5,4,0
"F-039-C2U",4,0,0,0,634,0,0,21,65,0,1599,0,0,3,0,0,0,0,10,2,0,0,0,0,0,0,0,52,36,0,0,0,98,45,125,25,0,198,3,0,16,5,0,176,5,5,0,57,19,0,8,0,4,0,0,0,0,0,84,0,0,0,0,0,59,0,0,0,0,6,16
"F-028C1A",30,0,0,0,4522,0,0,28,0,0,0,5,0,0,0,0,0,0,12,11,0,0,0,5,4,0,0,112,45,0,0,0,30,11,274,11,0,194,88,0,0,0,0,94,37,41,15,208,22,0,12,10,34,43,17,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,0
"F-062-C1A",0,0,0,3,133,10,0,2,25,0,70,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,62,0,0,0,0,168,59,65,11,0,30,0,0,8,30,0,974,6,14,0,26,28,16,2,0,10,0,1,3,37,0,0,0,20,0,0,0,2,3,0,0,0,0,21
"F-016C2U",18,0,0,0,602,0,0,6,43,15,7,0,0,0,0,0,0,0,6,9,0,0,0,3,0,0,0,10,8,0,0,0,60,18,48,71,0,433,3,0,2,95,0,65,9,2224,0,41,5,0,5,0,0,19,0,0,367,0,0,0,0,0,0,11,0,0,0,0,0,0,24
"F-022C1A",10,9,0,30,2332,165,0,18,92,0,0,4,0,4,0,0,0,0,5,6,0,0,0,0,0,0,0,26,21,0,0,0,128,11,32,25,0,409,19,0,0,7,0,339,15,465,4,107,42,0,0,0,5,4,14,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,6
"F-037-C2U",394,0,0,4,1336,45,37,0,49,0,0,0,0,0,3,0,4,0,36,0,0,0,0,0,0,0,0,154,26,76,0,0,159,39,333,50,0,5,0,0,9,9,0,741,15,13,0,22,20,0,7,0,3,6,0,0,0,0,70,5,0,0,0,67,0,0,0,0,0,0,0
"F-023C1A",29,0,0,0,4816,77,0,3,58,0,0,0,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,65,12,0,0,0,397,104,111,9,0,127,11,0,7,46,0,243,12,34,7,0,80,0,7,7,4,4,9,0,0,0,0,0,0,0,0,0,91,83,0,0,0,0,17
"F-042-C1A",0,0,0,0,214,58,0,8,65,0,9,0,0,0,0,0,0,0,24,176,0,0,0,6,0,0,0,106,17,0,0,0,310,11,36,7,0,38,0,0,9,0,0,158,10,108,0,206,26,251,2,0,52,3,0,0,0,0,137,3,0,0,0,0,12,32,0,0,0,0,0
"F-008C2U",0,0,0,0,517,75,0,37,85,0,1555,0,0,0,0,0,0,0,3,7,0,0,0,8,2,0,0,74,4,5,0,0,79,32,67,17,0,50,2,0,18,2,0,600,7,51,0,121,6,0,2,0,13,0,5,0,0,0,68,0,0,0,0,0,6,0,0,0,2,2,5
"A05",17,0,0,0,1514,0,0,7,500,0,0,0,8,2,0,0,4,0,11,0,0,0,5,5,0,0,0,85,6,3,0,4,182,6,0,0,0,48,6,13,0,6,0,61,6,107,0,53,4,0,23,0,5,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,241
"F-027C1A",0,0,0,0,4110,55,0,6,49,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0,174,6,0,0,0,483,57,146,20,0,123,6,0,11,0,0,1329,15,4,16,30,14,0,32,8,7,7,3,0,64,0,0,0,0,0,0,12,0,0,0,0,0,0,44
"F-029C2U",10,0,0,0,3300,0,10,22,73,0,5,0,0,0,0,0,0,0,8,43,0,0,0,8,0,0,0,58,15,0,0,0,371,23,105,71,0,174,6,0,4,22,0,755,0,66,0,223,43,0,6,0,3,4,15,0,4,0,21,0,0,0,0,12,0,0,0,0,0,0,11
"F-039-C1A",8,0,0,4,1013,0,0,14,27,0,2079,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,79,28,0,0,0,124,22,98,6,0,61,3,0,13,2,0,128,8,22,0,134,83,3,3,0,76,0,0,0,0,0,0,0,0,0,0,3,88,0,0,0,0,0,5
"F-001C1A",153,0,0,0,101,0,0,0,7,0,0,0,0,0,0,0,0,47,18,2,0,0,0,4,0,0,0,262,19,13,0,0,283,2,196,0,0,19,2,0,2,2,2,1914,17,12,4,60,7,0,2,0,7,2,3,0,0,0,288,10,0,0,0,16,0,0,2,0,5,0,3
"N19",126,0,0,102,397,0,0,0,11,0,0,0,0,3,0,23,0,0,4,0,0,0,0,63,2,3,9,66,0,0,0,0,227,32,0,0,0,472,0,0,14,3,0,148,58,6,7,0,89,0,7,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A10",926,0,0,0,608,0,0,0,17,0,0,0,10,0,0,0,24,0,38,0,0,0,0,20,0,19,46,0,19,0,0,0,77,0,0,0,0,831,10,0,0,8,4,505,4,99,4,56,0,0,12,6,13,0,18,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"F-014C2U",14,0,0,0,4119,0,0,6,29,0,3,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,268,3,0,0,0,633,6,89,22,0,18,0,0,0,46,0,1040,0,0,0,169,0,0,4,6,5,4,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,6
"F-003C1A",47,0,0,0,3564,0,0,0,23,0,0,0,0,0,15,0,0,0,75,275,0,0,0,0,0,0,0,228,137,0,0,0,785,640,585,49,0,538,5,0,22,10,0,694,6,13,0,8,23,0,87,0,57,9,64,0,0,0,29,132,0,0,0,80,0,0,0,0,131,37,0
"F-060-C1A",5,0,0,0,884,0,2,7,208,0,0,0,0,0,0,0,97,0,54,307,0,0,0,0,0,0,0,122,23,4,0,0,512,203,175,2,0,131,3,0,5,0,0,539,5,7,3,2,0,0,18,0,0,6,3,0,36,0,0,0,0,4,0,6,0,0,0,0,73,4,0
"N14",26,0,0,4,898,0,6,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,0,0,136,0,0,17,0,59,0,47,2,5,0,12,8,149,4,0,2,0,3,14,0,4,0,0,0,0,0,0,0,0,0,2,14,21,4,0,0,0,132
"F-023C2U",36,0,0,0,163,78,0,0,5,0,2,0,0,0,0,0,0,0,4,23,0,0,0,7,0,0,0,44,15,0,0,0,162,59,36,24,0,389,0,0,16,7,0,742,9,126,3,0,56,0,5,0,0,0,9,0,0,0,41,0,0,0,0,2,119,0,0,0,0,0,14
"F066-C2U",58,0,0,0,3018,0,8,0,417,0,0,0,0,4,0,0,0,0,3,595,0,0,0,0,0,0,0,40,22,0,13,0,320,268,76,9,0,1527,10,0,8,5,0,277,38,13,6,195,8,0,10,0,5,6,177,0,0,0,28,0,0,0,0,7,3,62,0,0,0,3,132
"F-010C1A",9,0,0,0,1707,0,0,7,12,0,0,0,0,0,0,0,0,0,3,6,0,0,0,5,0,0,0,84,4,0,0,0,250,27,103,39,0,162,3,0,0,0,0,442,0,4,0,0,8,0,24,15,0,0,0,0,0,0,17,0,0,0,0,5,0,0,0,0,0,0,259
"F-015C1A",0,0,0,0,81,0,0,0,3,0,0,0,0,0,0,0,0,0,0,39,0,0,0,4,0,0,0,21,19,0,0,0,71,7,29,8,0,3,0,0,0,29,3,462,0,750,0,46,54,0,14,0,0,3,0,0,3,0,57,0,0,0,0,2,0,0,0,0,0,0,3
"F-032C1A",1298,0,0,0,3818,0,0,10,71,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,16,185,31,4,0,0,127,33,1023,85,0,50,0,0,6,0,0,149,33,17,17,240,148,0,7,5,16,20,2,0,0,0,22,0,0,0,0,15,0,0,0,0,0,3,123
"F-041-C1A",87,0,0,0,1220,65,16,4,80,0,0,4,0,0,0,0,0,0,18,45,0,0,0,0,0,0,0,78,21,0,0,0,108,250,217,95,0,532,7,0,30,8,0,347,9,22,0,61,48,0,26,0,8,6,4,0,0,0,0,3,0,0,0,43,0,0,0,0,3,4,22
"A18",72,0,0,0,802,6,0,0,61,3,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,28,30,10,1,0,0,78,0,0,0,0,38,0,0,1,8,0,91,11,2,2,0,11,0,9,2,2,5,0,4,4,0,0,0,0,0,0,3,0,0,0,6,11,0,0
"F-044-C2U",35,0,0,7,763,0,0,0,35,38,0,0,0,0,0,0,3,4,71,99,0,0,0,4,0,0,0,156,25,4,0,0,207,93,166,49,0,345,0,0,7,0,0,172,0,15,0,58,12,0,3,0,4,4,15,0,40,0,22,0,0,0,0,22,0,0,0,0,0,12,0
"N04",24,1,0,2,119,15,0,0,46,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,7,18,4,7,0,0,112,5,0,0,0,456,9,2,1,21,7,78,13,122,10,47,11,0,18,1,14,6,0,0,40,0,2,0,0,0,0,4,0,0,0,0,0,0,19
"A15",2,0,0,0,814,0,0,0,0,0,0,0,21,0,0,10,0,0,1,0,1,0,0,0,0,0,1,0,28,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,17,1,0,106,0,0,6,3,31,0,0,0,0,0,0,7,0,0,0,2,0,0,0,4,1,0,28
"F-061-C2U",4,0,0,0,903,0,0,7,24,0,0,0,0,0,0,0,0,0,7,36,0,0,0,0,0,0,0,83,3,0,0,0,174,31,53,23,0,70,0,0,3,0,5,1897,7,141,0,618,55,0,3,0,15,9,15,0,0,0,34,0,0,0,0,2,0,0,0,69,0,0,0
"F-058-C1A",9,0,0,0,848,0,0,35,82,93,4,3,0,0,0,0,0,0,6,18,0,0,0,16,0,0,0,41,17,0,0,0,175,35,66,42,0,23,0,0,14,56,0,298,9,70,0,8,62,0,19,0,4,4,4,0,17,0,0,0,0,0,0,0,10,19,0,0,0,0,0
"F-048-C1A",211,0,0,5,743,64,0,12,68,0,0,0,0,0,0,0,0,0,2,239,0,0,0,0,0,0,0,53,15,0,0,0,206,133,71,48,0,224,2,0,11,0,0,1312,10,57,0,5,36,0,9,0,2,0,11,0,0,0,29,0,0,0,0,2,359,0,0,16,16,0,4
"F063-C1U",0,0,0,0,1223,274,0,23,57,0,6,0,0,0,0,0,0,0,4,193,0,0,0,4,0,0,0,68,31,4,0,0,382,279,83,23,0,374,5,6,5,4,0,217,20,17,9,47,7,0,72,0,0,4,86,0,69,0,0,0,0,0,0,14,0,0,0,0,0,2,0
"F-029C1A",44,0,0,0,3406,0,10,32,159,0,0,0,0,4,0,0,0,3,10,3,0,0,0,0,0,0,0,184,37,5,0,0,156,39,176,50,0,13,0,0,4,0,0,881,6,25,0,147,137,0,18,4,0,4,4,0,0,0,9,0,0,0,0,12,0,0,0,0,0,0,45
"A11",50,0,0,2,256,0,0,0,28,0,0,0,0,0,0,6,0,0,16,0,0,0,0,21,0,0,28,54,6,3,0,0,853,0,0,14,0,27,19,0,4,3,0,64,7,1,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"A14",17,0,0,2,529,30,0,0,31,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0,12,5,0,0,0,63,0,39,0,0,113,0,0,3,6,0,240,13,62,11,12,11,0,5,0,2,1,0,0,0,0,51,0,0,0,0,7,0,0,0,0,0,0,0
"F-054-C2U",46,0,0,4,1935,30,0,0,75,0,0,0,0,0,0,0,7,9,3,147,0,0,0,0,0,0,0,124,21,4,0,0,333,113,91,27,0,113,0,0,20,78,0,536,10,11,0,157,13,0,10,0,0,0,0,0,0,0,52,0,0,0,0,61,0,0,0,0,3,3,0
"F-004C2U",5,0,0,0,2062,0,0,0,301,0,0,0,0,0,0,0,0,0,6,31,0,0,0,0,0,0,0,148,111,7,0,0,196,14,110,16,0,16,11,0,3,21,0,901,268,47,19,0,0,0,3,0,3,9,0,0,21,0,0,0,0,0,0,0,6,0,0,0,0,0,264
"N20",7,1,0,4,445,43,0,26,0,0,0,1,8,0,0,0,0,0,2,0,0,0,0,5,0,0,4,89,0,6,0,0,99,4,0,0,2,0,0,5,3,16,0,262,2,85,4,304,27,0,20,0,8,4,0,0,0,0,14,0,0,0,0,0,12,0,0,0,0,0,33
"N16",1,0,0,1,674,0,0,2,134,0,0,0,7,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,7,6,0,0,53,0,20,0,0,24,0,1,0,1,0,106,6,22,0,19,3,0,0,0,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
"F-045-C1A",36,0,0,0,4114,0,0,27,235,0,0,0,0,0,0,0,0,16,0,8,0,0,0,0,0,0,0,210,23,0,0,0,359,105,176,67,0,53,0,0,6,0,0,791,0,28,0,0,20,0,13,0,6,7,14,0,191,0,0,0,0,0,0,0,112,0,0,0,0,3,0
