"subjectid_text","batchid","cond"
"Subject_236","batch_0","cond_1"
"Subject_237","batch_1","cond_1"
"Subject_238","batch_1","cond_0"
"Subject_239","batch_0","cond_0"
"Subject_240","batch_1","cond_0"
"Subject_241","batch_1","cond_0"
"Subject_242","batch_0","cond_0"
"Subject_243","batch_0","cond_0"
"Subject_244","batch_0","cond_0"
"Subject_245","batch_1","cond_0"
"Subject_246","batch_0","cond_1"
"Subject_247","batch_1","cond_0"
"Subject_248","batch_0","cond_0"
"Subject_249","batch_0","cond_1"
"Subject_250","batch_0","cond_0"
"Subject_251","batch_1","cond_0"
"Subject_252","batch_0","cond_1"
"Subject_253","batch_1","cond_0"
"Subject_254","batch_0","cond_0"
"Subject_255","batch_0","cond_0"
"Subject_256","batch_0","cond_0"
"Subject_257","batch_1","cond_0"
"Subject_258","batch_1","cond_1"
"Subject_259","batch_0","cond_1"
"Subject_260","batch_0","cond_0"
"Subject_261","batch_1","cond_0"
"Subject_262","batch_0","cond_1"
"Subject_263","batch_1","cond_1"
"Subject_264","batch_1","cond_0"
"Subject_265","batch_1","cond_0"
"Subject_266","batch_1","cond_1"
"Subject_267","batch_1","cond_0"
"Subject_268","batch_1","cond_0"
"Subject_269","batch_0","cond_1"
"Subject_270","batch_1","cond_0"
"Subject_271","batch_1","cond_1"
"Subject_272","batch_0","cond_1"
"Subject_273","batch_1","cond_1"
"Subject_274","batch_0","cond_0"
"Subject_275","batch_0","cond_1"
"Subject_276","batch_0","cond_0"
"Subject_277","batch_0","cond_1"
"Subject_278","batch_1","cond_0"
"Subject_279","batch_1","cond_1"
"Subject_280","batch_0","cond_1"
"Subject_281","batch_0","cond_0"
"Subject_282","batch_1","cond_1"
"Subject_283","batch_0","cond_1"
"Subject_284","batch_1","cond_1"
"Subject_285","batch_1","cond_1"
"Subject_286","batch_1","cond_1"
"Subject_287","batch_0","cond_0"
"Subject_288","batch_0","cond_0"
"Subject_289","batch_1","cond_0"
"Subject_290","batch_1","cond_1"
"Subject_291","batch_1","cond_0"
"Subject_292","batch_1","cond_1"
"Subject_293","batch_0","cond_1"
"Subject_294","batch_0","cond_1"
"Subject_295","batch_1","cond_1"
"Subject_296","batch_0","cond_1"
"Subject_297","batch_0","cond_0"
"Subject_298","batch_1","cond_0"
"Subject_299","batch_0","cond_1"
"Subject_300","batch_1","cond_0"
"Subject_301","batch_1","cond_0"
"Subject_302","batch_0","cond_0"
"Subject_303","batch_1","cond_0"
"Subject_304","batch_1","cond_0"
"Subject_305","batch_0","cond_1"
"Subject_306","batch_1","cond_0"
"Subject_307","batch_0","cond_0"
"Subject_308","batch_0","cond_1"
"Subject_309","batch_0","cond_0"
"Subject_310","batch_0","cond_0"
"Subject_311","batch_0","cond_1"
"Subject_312","batch_0","cond_1"
"Subject_313","batch_0","cond_1"
"Subject_314","batch_1","cond_0"
"Subject_315","batch_1","cond_1"
"Subject_316","batch_1","cond_1"
"Subject_317","batch_1","cond_0"
"Subject_318","batch_1","cond_1"
"Subject_319","batch_0","cond_1"
"Subject_320","batch_1","cond_1"
"Subject_321","batch_1","cond_0"
"Subject_322","batch_1","cond_1"
"Subject_323","batch_1","cond_1"
"Subject_324","batch_0","cond_0"
"Subject_325","batch_0","cond_1"
"Subject_326","batch_0","cond_0"
"Subject_327","batch_0","cond_1"
"Subject_328","batch_0","cond_0"
"Subject_329","batch_1","cond_0"
"Subject_330","batch_1","cond_0"
"Subject_331","batch_1","cond_1"
"Subject_332","batch_1","cond_0"
"Subject_333","batch_1","cond_1"
"Subject_334","batch_1","cond_0"
"Subject_335","batch_0","cond_0"
"Subject_336","batch_1","cond_0"
"Subject_337","batch_1","cond_0"
"Subject_338","batch_0","cond_0"
"Subject_339","batch_0","cond_1"
"Subject_340","batch_0","cond_0"
"Subject_341","batch_1","cond_1"
"Subject_342","batch_0","cond_1"
"Subject_343","batch_0","cond_1"
"Subject_344","batch_0","cond_0"
"Subject_345","batch_0","cond_1"
"Subject_346","batch_1","cond_0"
"Subject_347","batch_0","cond_1"
"Subject_348","batch_0","cond_1"
"Subject_349","batch_1","cond_0"
"Subject_350","batch_1","cond_0"
"Subject_351","batch_0","cond_1"
"Subject_352","batch_1","cond_0"
"Subject_353","batch_0","cond_0"
"Subject_354","batch_1","cond_1"
"Subject_355","batch_1","cond_1"
"Subject_356","batch_1","cond_1"
"Subject_357","batch_1","cond_0"
"Subject_358","batch_0","cond_0"
"Subject_359","batch_1","cond_1"
"Subject_360","batch_0","cond_1"
"Subject_361","batch_0","cond_0"
"Subject_362","batch_1","cond_1"
"Subject_363","batch_1","cond_0"
"Subject_364","batch_0","cond_0"
"Subject_365","batch_1","cond_0"
"Subject_366","batch_1","cond_0"
"Subject_367","batch_0","cond_1"
"Subject_368","batch_1","cond_1"
"Subject_369","batch_0","cond_0"
"Subject_370","batch_0","cond_1"
"Subject_371","batch_1","cond_0"
"Subject_372","batch_0","cond_1"
"Subject_373","batch_1","cond_1"
"Subject_374","batch_1","cond_0"
"Subject_375","batch_0","cond_0"
"Subject_376","batch_0","cond_1"
"Subject_377","batch_1","cond_0"
"Subject_378","batch_1","cond_1"
"Subject_379","batch_1","cond_0"
"Subject_380","batch_0","cond_1"
"Subject_381","batch_1","cond_1"
"Subject_382","batch_0","cond_1"
"Subject_383","batch_1","cond_1"
"Subject_384","batch_1","cond_0"
"Subject_385","batch_0","cond_0"
"Subject_386","batch_0","cond_0"
"Subject_387","batch_1","cond_1"
"Subject_388","batch_0","cond_0"
"Subject_389","batch_1","cond_0"
"Subject_390","batch_0","cond_1"
"Subject_391","batch_0","cond_0"
"Subject_392","batch_1","cond_0"
"Subject_393","batch_1","cond_0"
"Subject_394","batch_0","cond_1"
"Subject_395","batch_1","cond_1"
"Subject_396","batch_1","cond_1"
"Subject_397","batch_0","cond_1"
"Subject_398","batch_1","cond_0"
"Subject_399","batch_0","cond_1"
"Subject_400","batch_0","cond_0"
"Subject_401","batch_0","cond_1"
"Subject_402","batch_0","cond_1"
"Subject_403","batch_0","cond_0"
"Subject_404","batch_1","cond_1"
"Subject_405","batch_0","cond_0"
"Subject_406","batch_1","cond_1"
"Subject_407","batch_0","cond_1"
"Subject_408","batch_1","cond_0"
"Subject_409","batch_0","cond_0"
"Subject_410","batch_1","cond_0"
"Subject_411","batch_0","cond_0"
"Subject_412","batch_1","cond_0"
"Subject_413","batch_1","cond_1"
"Subject_414","batch_0","cond_1"
"Subject_415","batch_0","cond_1"
"Subject_416","batch_1","cond_0"
"Subject_417","batch_1","cond_0"
"Subject_418","batch_0","cond_0"
"Subject_419","batch_1","cond_0"
"Subject_420","batch_1","cond_0"
"Subject_421","batch_0","cond_0"
"Subject_422","batch_0","cond_0"
"Subject_423","batch_1","cond_0"
"Subject_424","batch_0","cond_1"
"Subject_425","batch_0","cond_0"
"Subject_426","batch_0","cond_0"
"Subject_427","batch_1","cond_1"
"Subject_428","batch_1","cond_0"
"Subject_429","batch_1","cond_1"
"Subject_430","batch_1","cond_0"
"Subject_431","batch_0","cond_0"
"Subject_432","batch_1","cond_0"
"Subject_433","batch_0","cond_0"
"Subject_434","batch_0","cond_1"
"Subject_435","batch_1","cond_0"
"Subject_436","batch_0","cond_0"
"Subject_437","batch_0","cond_0"
"Subject_438","batch_1","cond_1"
"Subject_439","batch_1","cond_1"
"Subject_440","batch_1","cond_0"
"Subject_441","batch_1","cond_0"
"Subject_442","batch_0","cond_1"
"Subject_443","batch_1","cond_0"
"Subject_444","batch_1","cond_1"
"Subject_445","batch_1","cond_1"
"Subject_446","batch_1","cond_0"
"Subject_447","batch_1","cond_0"
"Subject_448","batch_0","cond_1"
"Subject_449","batch_1","cond_1"
"Subject_450","batch_1","cond_1"
