subject_id,batch_var,bio_var
129,batch2,cond2
130,batch2,cond2
131,batch2,cond2
132,batch2,cond2
133,batch2,cond2
134,batch2,cond2
135,batch2,cond2
136,batch2,cond2
137,batch2,cond2
138,batch2,cond2
139,batch2,cond2
140,batch2,cond2
141,batch2,cond2
142,batch2,cond2
143,batch2,cond2
144,batch2,cond2
145,batch2,cond2
146,batch2,cond2
147,batch2,cond2
148,batch2,cond2
149,batch2,cond2
150,batch2,cond2
151,batch2,cond1
152,batch2,cond1
153,batch2,cond1
154,batch2,cond1
155,batch2,cond1
156,batch2,cond1
157,batch2,cond1
158,batch2,cond1
159,batch2,cond1
160,batch2,cond1
161,batch2,cond1
162,batch2,cond1
163,batch2,cond1
164,batch2,cond1
165,batch2,cond1
166,batch2,cond1
167,batch2,cond1
168,batch2,cond1
169,batch2,cond1
170,batch2,cond1
171,batch2,cond1
172,batch2,cond1
173,batch2,cond1
174,batch2,cond1
175,batch2,cond1
176,batch2,cond1
177,batch2,cond1
178,batch2,cond1
179,batch2,cond1
180,batch2,cond1
181,batch2,cond1
182,batch2,cond1
183,batch2,cond1
184,batch2,cond1
185,batch2,cond1
186,batch2,cond1
187,batch2,cond1
188,batch2,cond1
189,batch2,cond1
190,batch2,cond1
191,batch2,cond1
192,batch2,cond1
193,batch2,cond1
194,batch2,cond1
195,batch2,cond1
196,batch2,cond1
197,batch2,cond1
198,batch2,cond1
199,batch2,cond1
200,batch2,cond1
201,batch2,cond1
202,batch2,cond1
203,batch2,cond1
204,batch2,cond1
205,batch2,cond1
206,batch2,cond1
207,batch2,cond1
208,batch2,cond1
209,batch2,cond1
210,batch2,cond1
211,batch2,cond1
212,batch2,cond1
213,batch2,cond1
214,batch2,cond1
215,batch2,cond1
216,batch2,cond1
217,batch2,cond1
218,batch2,cond1
219,batch2,cond1
220,batch2,cond1
221,batch2,cond1
222,batch2,cond1
223,batch2,cond1
224,batch2,cond1
225,batch2,cond1
226,batch2,cond1
227,batch2,cond1
228,batch2,cond1
229,batch2,cond1
230,batch2,cond1
231,batch2,cond1
232,batch2,cond1
233,batch2,cond1
234,batch2,cond1
235,batch2,cond1
236,batch2,cond1
237,batch2,cond1
238,batch2,cond1
239,batch2,cond1
240,batch2,cond1
241,batch2,cond1
242,batch2,cond1
243,batch2,cond1
244,batch2,cond1
245,batch2,cond1
246,batch2,cond1
247,batch2,cond1
248,batch2,cond1
249,batch2,cond1
250,batch2,cond1
251,batch1,cond1
252,batch1,cond1
253,batch1,cond1
254,batch1,cond1
255,batch1,cond1
256,batch1,cond1
257,batch1,cond1
258,batch1,cond1
259,batch1,cond1
260,batch1,cond1
261,batch1,cond1
262,batch1,cond1
263,batch1,cond1
264,batch1,cond1
265,batch1,cond1
266,batch1,cond1
267,batch1,cond1
268,batch1,cond1
269,batch1,cond1
270,batch1,cond1
271,batch1,cond1
272,batch1,cond1
273,batch1,cond1
274,batch1,cond1
275,batch1,cond1
276,batch1,cond1
277,batch1,cond1
278,batch1,cond1
279,batch1,cond1
280,batch1,cond1
281,batch1,cond1
282,batch1,cond1
283,batch1,cond1
284,batch1,cond1
285,batch1,cond1
286,batch1,cond1
287,batch1,cond1
288,batch1,cond1
289,batch1,cond1
290,batch1,cond1
291,batch1,cond1
292,batch1,cond1
293,batch1,cond1
294,batch1,cond1
295,batch1,cond1
296,batch1,cond1
297,batch1,cond1
298,batch1,cond1
299,batch1,cond1
300,batch1,cond1
301,batch1,cond1
302,batch1,cond1
303,batch1,cond1
304,batch1,cond1
305,batch1,cond1
306,batch1,cond1
307,batch1,cond1
308,batch1,cond1
309,batch1,cond1
310,batch1,cond1
311,batch1,cond1
312,batch1,cond1
313,batch1,cond1
314,batch1,cond1
315,batch1,cond1
316,batch1,cond1
317,batch1,cond1
318,batch1,cond1
319,batch1,cond1
320,batch1,cond1
321,batch1,cond1
322,batch1,cond1
323,batch1,cond1
324,batch1,cond1
325,batch1,cond1
326,batch1,cond1
327,batch1,cond1
328,batch1,cond1
329,batch1,cond1
330,batch1,cond1
331,batch1,cond1
332,batch1,cond1
333,batch1,cond1
334,batch1,cond1
335,batch1,cond1
336,batch1,cond1
337,batch1,cond1
338,batch1,cond1
339,batch1,cond1
340,batch1,cond1
341,batch1,cond1
342,batch1,cond1
343,batch1,cond1
344,batch1,cond1
345,batch1,cond1
346,batch1,cond1
347,batch1,cond1
348,batch1,cond1
349,batch1,cond1
350,batch1,cond1
351,batch1,cond1
352,batch1,cond1
353,batch1,cond1
354,batch1,cond1
355,batch1,cond1
356,batch1,cond1
357,batch1,cond1
358,batch1,cond1
359,batch1,cond1
360,batch1,cond1
361,batch1,cond1
362,batch1,cond1
363,batch1,cond1
364,batch1,cond1
365,batch1,cond1
366,batch1,cond1
367,batch1,cond1
368,batch1,cond1
369,batch1,cond1
370,batch1,cond1
371,batch1,cond1
372,batch1,cond1
373,batch1,cond1
374,batch1,cond1
375,batch1,cond1
376,batch1,cond1
377,batch1,cond1
378,batch1,cond1
379,batch1,cond1
380,batch1,cond1
381,batch1,cond1
382,batch1,cond1
383,batch1,cond1
384,batch1,cond1
385,batch1,cond1
386,batch1,cond1
387,batch1,cond1
388,batch1,cond1
389,batch1,cond1
390,batch1,cond1
391,batch1,cond1
392,batch1,cond1
393,batch1,cond1
394,batch1,cond1
395,batch1,cond1
396,batch1,cond1
397,batch1,cond1
398,batch1,cond1
399,batch1,cond1
400,batch1,cond1
401,batch1,cond1
402,batch1,cond1
403,batch1,cond1
404,batch1,cond1
405,batch1,cond1
406,batch1,cond1
407,batch1,cond1
408,batch1,cond1
409,batch1,cond1
410,batch1,cond1
411,batch1,cond1
412,batch1,cond1
413,batch1,cond1
414,batch1,cond1
415,batch1,cond1
416,batch1,cond1
417,batch1,cond1
418,batch1,cond1
419,batch1,cond1
420,batch1,cond1
421,batch1,cond1
422,batch1,cond1
423,batch1,cond1
424,batch1,cond1
425,batch1,cond1
426,batch1,cond1
427,batch1,cond1
428,batch1,cond1
429,batch1,cond1
430,batch1,cond1
431,batch1,cond1
432,batch1,cond1
433,batch1,cond1
434,batch1,cond1
435,batch1,cond1
436,batch1,cond1
437,batch1,cond1
438,batch1,cond1
439,batch1,cond1
440,batch1,cond1
441,batch1,cond1
442,batch1,cond1
443,batch1,cond1
444,batch1,cond1
445,batch1,cond1
446,batch1,cond1
447,batch1,cond1
448,batch1,cond1
449,batch1,cond1
450,batch1,cond1
451,batch1,cond1
452,batch1,cond1
453,batch1,cond1
454,batch1,cond1
455,batch1,cond1
456,batch1,cond1
457,batch1,cond1
458,batch1,cond1
459,batch1,cond1
460,batch1,cond1
461,batch1,cond1
462,batch1,cond1
463,batch1,cond1
464,batch1,cond1
465,batch1,cond1
466,batch1,cond1
467,batch1,cond1
468,batch1,cond1
469,batch1,cond1
470,batch1,cond1
471,batch1,cond1
472,batch1,cond1
473,batch1,cond1
474,batch1,cond1
475,batch1,cond1
476,batch1,cond1
477,batch1,cond1
478,batch1,cond1
479,batch1,cond1
480,batch1,cond1
481,batch1,cond1
482,batch1,cond1
483,batch1,cond1
484,batch1,cond1
485,batch1,cond1
486,batch1,cond1
487,batch1,cond1
488,batch1,cond1
489,batch1,cond1
490,batch1,cond1
491,batch1,cond1
492,batch1,cond1
493,batch1,cond1
494,batch1,cond1
495,batch1,cond1
496,batch1,cond1
497,batch1,cond1
498,batch1,cond1
499,batch1,cond1
500,batch1,cond1
501,batch1,cond1
502,batch1,cond1
503,batch1,cond1
504,batch1,cond1
505,batch1,cond1
506,batch1,cond1
507,batch1,cond1
508,batch1,cond1
509,batch1,cond1
510,batch1,cond1
511,batch1,cond1
512,batch1,cond1
513,batch1,cond1
514,batch1,cond1
515,batch1,cond1
516,batch1,cond1
517,batch1,cond1
518,batch1,cond1
519,batch1,cond1
520,batch1,cond1
521,batch1,cond1
522,batch1,cond1
523,batch1,cond1
524,batch1,cond1
525,batch1,cond1
526,batch1,cond1
527,batch1,cond1
528,batch1,cond1
529,batch1,cond1
530,batch1,cond1
531,batch1,cond1
532,batch1,cond1
533,batch1,cond1
534,batch1,cond1
535,batch1,cond1
536,batch1,cond1
537,batch1,cond1
538,batch1,cond1
539,batch1,cond1
540,batch1,cond1
541,batch1,cond1
542,batch1,cond1
543,batch1,cond1
544,batch1,cond1
545,batch1,cond1
546,batch1,cond1
547,batch1,cond1
548,batch1,cond1
549,batch1,cond1
550,batch1,cond1
551,batch1,cond1
552,batch1,cond1
553,batch1,cond1
554,batch1,cond1
555,batch1,cond1
556,batch1,cond1
557,batch1,cond1
558,batch1,cond1
559,batch1,cond1
560,batch1,cond1
561,batch1,cond1
562,batch1,cond1
563,batch1,cond1
564,batch1,cond1
565,batch1,cond1
566,batch1,cond1
567,batch1,cond1
568,batch1,cond1
569,batch1,cond1
570,batch1,cond1
571,batch1,cond1
572,batch1,cond1
573,batch1,cond1
574,batch1,cond1
575,batch1,cond1
576,batch1,cond1
577,batch1,cond1
578,batch1,cond1
579,batch1,cond1
580,batch1,cond1
581,batch1,cond1
582,batch1,cond1
583,batch1,cond1
584,batch1,cond1
585,batch1,cond1
586,batch1,cond1
587,batch1,cond1
588,batch1,cond1
589,batch1,cond1
590,batch1,cond1
591,batch1,cond1
592,batch1,cond1
593,batch1,cond1
594,batch1,cond1
595,batch1,cond1
596,batch1,cond1
597,batch1,cond1
598,batch1,cond1
599,batch1,cond1
600,batch1,cond1
601,batch1,cond1
602,batch1,cond1
603,batch1,cond1
604,batch1,cond1
605,batch1,cond1
606,batch1,cond1
607,batch1,cond1
608,batch1,cond1
609,batch1,cond1
610,batch1,cond1
611,batch1,cond1
612,batch1,cond1
613,batch1,cond1
614,batch1,cond1
615,batch1,cond1
616,batch1,cond1
617,batch1,cond1
618,batch1,cond1
619,batch1,cond1
620,batch1,cond1
621,batch1,cond1
622,batch1,cond1
623,batch1,cond1
624,batch1,cond1
625,batch1,cond1
626,batch1,cond1
627,batch1,cond1
628,batch1,cond1
629,batch1,cond1
630,batch1,cond1
631,batch1,cond1
632,batch1,cond1
633,batch1,cond1
634,batch1,cond1
635,batch1,cond1
636,batch1,cond1
637,batch1,cond1
638,batch1,cond1
639,batch1,cond1
640,batch1,cond1
641,batch1,cond1
642,batch1,cond1
643,batch1,cond1
644,batch1,cond1
645,batch1,cond1
646,batch1,cond1
647,batch1,cond1
648,batch1,cond1
649,batch1,cond1
650,batch1,cond1
651,batch1,cond1
652,batch1,cond1
653,batch1,cond1
654,batch1,cond1
655,batch1,cond1
656,batch1,cond1
657,batch1,cond1
658,batch1,cond1
659,batch1,cond1
660,batch1,cond1
661,batch1,cond1
662,batch1,cond1
663,batch1,cond1
664,batch1,cond1
665,batch1,cond1
666,batch1,cond1
667,batch1,cond1
668,batch1,cond1
669,batch1,cond1
670,batch1,cond1
671,batch1,cond1
672,batch1,cond1
673,batch1,cond1
674,batch1,cond1
675,batch1,cond1
676,batch1,cond1
677,batch1,cond1
678,batch1,cond1
679,batch1,cond1
680,batch1,cond1
681,batch1,cond1
682,batch1,cond1
683,batch1,cond1
684,batch1,cond1
685,batch1,cond1
686,batch1,cond1
687,batch1,cond1
688,batch1,cond1
689,batch1,cond1
690,batch1,cond1
691,batch1,cond1
692,batch1,cond1
693,batch1,cond1
694,batch1,cond1
695,batch1,cond1
696,batch1,cond1
697,batch1,cond1
698,batch1,cond1
699,batch1,cond1
700,batch1,cond1
701,batch1,cond1
702,batch1,cond1
703,batch1,cond1
704,batch1,cond1
705,batch1,cond1
706,batch1,cond1
707,batch1,cond1
708,batch1,cond1
709,batch1,cond1
710,batch1,cond1
711,batch1,cond1
712,batch1,cond1
713,batch1,cond1
714,batch1,cond1
715,batch1,cond1
716,batch1,cond1
717,batch1,cond1
718,batch1,cond1
719,batch1,cond1
720,batch1,cond1
721,batch1,cond1
722,batch1,cond1
723,batch1,cond1
724,batch1,cond1
725,batch1,cond1
726,batch1,cond1
727,batch1,cond1
728,batch1,cond1
729,batch1,cond1
730,batch1,cond1
731,batch1,cond1
732,batch1,cond1
733,batch1,cond1
734,batch1,cond1
735,batch1,cond1
736,batch1,cond1
737,batch1,cond1
738,batch1,cond1
739,batch1,cond1
740,batch1,cond1
741,batch1,cond1
742,batch1,cond1
743,batch1,cond1
744,batch1,cond1
745,batch1,cond1
746,batch1,cond1
747,batch1,cond1
748,batch1,cond1
749,batch1,cond1
750,batch1,cond1
